element,image
3_2_2,0_1_1
3_3_2,0_2_1
3_3_3,0_2_2
3_4_3,0_3_2
3_5_4,0_4_3
3_8_3,0_7_2
3_9_4,0_8_3
3_9_5,0_8_4
3_10_4,0_9_3_0
3_10_5,0_9_4
3_10_6,0_9_5
3_11_4,0_10_3
3_11_5,0_10_4
13_63_6_3,0_52_5
3_11_6,0_10_5
13_63_7_0,0_52_6
3_11_7,0_10_6
19_35_8_0,0_18_7
3_12_6,0_11_5
37_44_5_0,0_9_4
3_12_7,0_11_6
37_44_6_0,0_9_5
19_35_9_0,0_18_8
3_13_8,0_12_7
37_45_4_1,0_10_3
19_36_5,0_19_4
3_15_5,0_14_4
37_45_7_0,0_10_6
3_16_6,0_15_5
37_50_6_0,0_15_5
3_16_7,0_15_6
3_17_6,0_16_5
13_63_8_0,0_52_7
3_17_7,0_16_6
3_17_8,0_16_7
37_50_7,0_15_6
3_17_9,0_16_8
37_51_3,0_16_2
37_51_7_0,0_16_6
3_18_7,0_17_6
37_51_8_0,0_16_7
3_18_8,0_17_7
15_65_9_0,0_52_8_1
3_18_9,0_17_8
3_18_10,0_17_9
3_19_8,0_18_7
37_52_4_0,0_17_3
19_36_10,0_19_9
3_19_9,0_18_8
31_38_3_0,0_9_2
37_52_9,0_17_8
3_19_10,0_18_9
3_19_11,0_18_10
31_38_4_0,0_9_3_1
3_20_6,0_19_5
19_36_11,0_19_10
19_37_12_0,0_20_11
19_38_4,0_21_3
13_63_9_1,0_52_8_0
31_39_4_0,0_10_3
37_52_10,0_17_9
19_38_7_0,0_21_6
3_20_10,0_19_9
31_39_5_0,0_10_4
3_20_11,0_19_10
31_40_6_0,0_11_5
19_40_5_1,0_23_4_0 + 0_23_4_1
19_40_6_1,0_23_5
3_21_12,0_20_11
3_22_7,0_21_6
3_23_6,0_22_5
37_53_8,0_18_7
3_23_9,0_22_8
3_24_5,0_23_4_0
31_40_7,0_11_6
17_36_6_0,0_21_5
3_24_8,0_23_7
3_24_10,0_23_9
17_37_5_0,0_22_4
37_53_11_0,0_18_10
31_41_8,0_12_7
37_54_6_0,0_19_5
31_45_6_0,0_16_5
31_45_7_0,0_16_6
31_46_3,0_17_2
37_56_6,0_21_5
31_46_4_1,0_17_3
3_24_11,0_23_10
17_37_9_0,0_22_8
3_25_5,0_24_4
17_38_5,0_23_4_1
17_38_6_1,0_23_5
47_54_3,0_9_2
37_56_7,0_21_6
3_25_6,0_24_5
37_57_4,0_22_3
47_54_4_0,0_9_3_1
31_46_7_0,0_17_6
3_25_7,0_24_6
3_25_10,0_24_9
17_38_8_0,0_23_7
3_25_11,0_24_10
3_25_12,0_24_11
47_55_4,0_10_3
37_57_5_1,0_22_4
17_38_10_0,0_23_9
31_47_3,0_18_2
31_47_4,0_18_3
17_39_6,0_24_5
13_63_9_3,0_52_8_1
47_55_5,0_10_4
37_57_6_1,0_22_5
47_56_6,0_11_5
37_58_5_0,0_23_4_1
47_56_7,0_11_6
37_58_5_1,0_23_4_0
3_25_13,0_24_12
31_47_5_0,0_18_4
47_57_8_0,0_12_7
17_39_11,0_24_10
31_47_8_0,0_18_7
19_40_8_0,0_23_7
19_41_5_0,0_24_4
3_26_6,0_25_5
3_26_9,0_25_8
17_63_5_2,0_48_4
19_41_6,0_24_5
47_61_6_0,0_16_5
3_26_11,0_25_10
17_63_6_0,0_48_5
31_47_9,0_18_8
31_48_5_0,0_19_4
19_41_7_1,0_24_6
17_63_8_1,0_48_7_1
17_39_12_0,0_24_11
47_61_7_0,0_16_6
19_42_6_0,0_25_5
31_48_6_0,0_19_5
3_26_12,0_25_11
37_58_10,0_23_9
47_62_7_0,0_17_6
19_42_11,0_25_10
17_40_9,0_25_8
3_26_13,0_25_12
17_63_10_1,0_48_9
47_63_4,0_18_3
47_63_5,0_18_4
3_26_14,0_25_13
33_52_4_0,0_21_3
33_52_6_0,0_21_5
33_53_5_1,0_22_4
3_27_7,0_26_6
17_40_13_0,0_25_12
47_63_8_0,0_18_7
47_63_9_0,0_18_8
3_27_8,0_26_7
33_53_9_0,0_22_8
33_54_5_0,0_23_4_1
3_27_12,0_26_11
3_27_13,0_26_12
3_27_14,0_26_13
3_27_15,0_26_14
3_28_7,0_27_6
33_54_6_1,0_23_5
3_28_10,0_27_9
17_40_14,0_25_13
17_41_7_0,0_26_6
33_54_8_0,0_23_7
3_28_14,0_27_13
3_28_15,0_27_14
17_41_8,0_26_7
3_29_9,0_28_8
33_54_10_0,0_23_9
17_67_9_0,0_52_8_1
33_55_6_0,0_24_5
33_55_11_0,0_24_10
3_29_16,0_28_15
3_30_8,0_29_7
3_30_11,0_29_10
3_31_10,0_30_9
17_41_15,0_26_14
3_31_13,0_30_12
33_55_12_0,0_24_11
19_42_12_0,0_25_11
33_56_9_0,0_25_8
3_32_9,0_31_8
3_32_12,0_31_11
3_32_14,0_31_13
33_56_13_0,0_25_12
3_32_15,0_31_14
25_63_6_0,0_40_5_1
3_33_11,0_32_10
3_33_14,0_32_13
3_33_15,0_32_14
3_33_16,0_32_15
3_33_17,0_32_16
3_34_10,0_33_9
3_34_13,0_33_12
3_34_15,0_33_14
37_58_11,0_23_10
37_59_6,0_24_5
17_42_14_0,0_27_13
3_34_16,0_33_15
19_42_13_0,0_25_12
37_59_7,0_24_6
19_43_7,0_26_6
37_59_11_0,0_24_10
17_43_9,0_28_8
3_34_17,0_33_16
3_34_18,0_33_17
3_35_9,0_34_8
17_44_8,0_29_7
17_45_3,0_30_2
19_43_8,0_26_7
19_43_12_0,0_26_11
