factor1,generator,result
0_1_1,h1,0_2_2
0_1_1,h3,0_8_2
0_2_1,h0,0_2_2
0_2_1,h1,0_3_2
0_2_1,h3,0_9_2
0_3_1,h2,0_6_2
0_2_2,h3,0_9_3_1
0_3_2,h1,0_4_3
0_3_2,h3,0_10_3
0_7_1,h1,0_8_2
0_7_1,h3,0_14_2
0_6_2,h2,0_9_3_1
0_7_2,h1,0_8_3
0_7_2,h2,0_10_3
0_8_2,h1,0_9_3_1
0_9_2,h0,0_9_3_1
0_9_2,h1,0_10_3
0_8_3,h1,0_9_4
0_9_3_0,h0,0_9_4
0_9_3_0,h1,0_10_4
0_8_4,h1,0_9_5
0_8_4,h2,0_11_5
0_8_4,h3,0_15_5
0_10_4,h1,0_11_5
0_9_5,h1,0_10_6
0_9_5,h3,0_16_6
0_10_5,h0,0_10_6
0_10_5,h1,0_11_6
0_10_5,h3,0_17_6
0_15_1,h1,0_16_2
0_15_1,h2,0_18_2
0_14_2,h3,0_21_3
0_11_6,h1,0_12_7
0_11_6,h3,0_18_7
0_14_4,h1,0_15_5
0_16_2,h1,0_17_3
0_15_3,h3,0_22_4
0_17_2,h0,0_17_3
0_17_2,h1,0_18_3
0_18_2,h2,0_21_3
0_15_5,h1,0_16_6
0_16_5,h0,0_16_6
0_16_5,h1,0_17_6
0_15_6,h1,0_16_7
0_15_6,h2,0_18_7
0_18_3,h1,0_19_4
0_17_4,h3,0_24_5
0_19_3,h2,0_22_4
0_18_4,h2,0_21_5
0_20_3,h2,0_23_4_0 + 0_23_4_1
0_17_6,h1,0_18_7
0_16_7,h1,0_17_8
0_17_7,h0,0_17_8
0_17_7,h1,0_18_8
0_16_8,h1,0_17_9
0_16_8,h2,0_19_9
0_16_8,h3,0_23_9
0_20_4,h1,0_21_5
0_20_4,h2,0_23_5
0_19_5,h3,0_26_6
0_22_3,h1,0_23_4_1
0_17_9,h1,0_18_10
0_17_9,h3,0_24_10
0_18_8,h1,0_19_9
0_18_9,h0,0_18_10
0_18_9,h1,0_19_10
0_18_9,h3,0_25_10
0_23_4_0,h1,0_24_5
0_23_4_1,h1,0_24_5
0_24_4,h0,0_24_5
0_24_4,h1,0_25_5
0_23_5,h2,0_26_6
0_19_10,h1,0_20_11
0_19_10,h3,0_26_11
0_22_8,h1,0_23_9
0_25_5,h1,0_26_6
0_31_1,h1,0_32_2
0_31_1,h2,0_34_2
0_31_1,h3,0_38_2
0_30_2,h1,0_31_3
0_23_9,h1,0_24_10
0_24_9,h0,0_24_10
0_24_9,h1,0_25_10
0_23_10,h1,0_24_11
0_23_10,h2,0_26_11
0_32_2,h1,0_33_3
0_32_2,h3,0_39_3
0_24_11,h1,0_25_12
0_33_2,h0,0_33_3
0_33_2,h1,0_34_3
0_33_2,h3,0_40_3
0_32_3,h1,0_33_4_1
0_25_10,h1,0_26_11
0_25_11,h0,0_25_12
0_25_11,h1,0_26_12
0_34_2,h2,0_37_3
0_24_12,h1,0_25_13
0_24_12,h2,0_27_13
0_24_12,h3,0_31_13
0_33_3,h3,0_40_4_2
0_32_4,h2,0_35_5
0_32_4,h3,0_39_5_1
0_31_5_0,h1,0_32_6
0_31_5_0,h2,0_34_6
0_31_5_0,h3,0_38_6_1
0_31_5_1,h2,0_34_6
0_31_5_1,h3,0_38_6_0
0_30_6,h2,0_33_7
0_32_5,h2,0_35_6
0_32_5,h3,0_39_6
0_34_3,h1,0_35_4
0_34_3,h3,0_41_4
0_33_4_0,h1,0_34_5
0_33_4_0,h2,0_36_5
0_33_4_0,h3,0_40_5_0
0_26_12,h1,0_27_13
0_25_13,h1,0_26_14
0_25_13,h3,0_32_14
0_32_6,h1,0_33_7
0_32_6,h3,0_39_7
0_26_13,h0,0_26_14
0_26_13,h1,0_27_14
0_26_13,h3,0_33_14
0_34_5,h3,0_41_6_0
0_33_6,h0,0_33_7
0_33_6,h1,0_34_7
0_33_6,h3,0_40_7
0_34_6,h2,0_37_7
0_38_2,h1,0_39_3
0_38_2,h3,0_45_3
0_37_3,h2,0_40_4_2
0_35_5,h2,0_38_6_0
0_38_3,h1,0_39_4_1
0_38_3,h2,0_41_4
0_27_14,h1,0_28_15
0_27_14,h3,0_34_15
0_36_5,h2,0_39_6
0_35_6,h2,0_38_7
0_30_12,h1,0_31_13
0_39_3,h1,0_40_4_2
0_38_4,h1,0_39_5_1
0_38_4,h3,0_45_5_0
0_37_5,h1,0_38_6_0
0_36_6,h1,0_37_7
0_36_6,h2,0_39_7
0_40_3,h0,0_40_4_2
0_40_3,h1,0_41_4
0_39_4_0,h0,0_39_5_1
0_39_4_0,h1,0_40_5_0
0_39_4_0,h2,0_42_5
0_39_4_0,h3,0_46_5
0_39_4_1,h1,0_40_5_1
0_37_6,h0,0_37_7
0_37_6,h1,0_38_7
0_37_6,h2,0_40_7
0_31_13,h1,0_32_14
0_40_4_0,h0,0_40_5_1
