element,image
2_1_1,3_0_0
2_1_2,3_0_1
2_1_3,3_0_2
2_1_4,3_0_3
2_1_5,3_0_4
2_1_6,3_0_5
2_1_7,3_0_6
2_1_8,3_0_7
2_1_9,3_0_8
2_1_10,3_0_9
2_1_11,3_0_10
2_1_12,3_0_11
2_1_13,3_0_12
2_1_14,3_0_13
2_1_15,3_0_14
2_1_16,3_0_15
2_1_17,3_0_16
2_1_18,3_0_17
2_1_19,3_0_18
2_1_20,3_0_19
2_1_21,3_0_20
2_1_22,3_0_21
2_1_23,3_0_22
2_1_24,3_0_23
2_1_25,3_0_24
2_1_26,3_0_25
2_1_27,3_0_26
2_2_2,3_1_1
2_3_3,3_2_2
2_4_3,3_3_2
2_4_4,3_3_3
2_5_4,3_4_3
2_6_5,3_5_4
2_9_4,3_8_3
2_10_5,3_9_4
2_10_6,3_9_5
2_11_5,3_10_4
2_11_6,3_10_5
2_11_7,3_10_6
2_12_5,3_11_4
2_12_6,3_11_5
2_12_7,3_11_6
2_12_8,3_11_7
2_13_7,3_12_6
2_13_8,3_12_7
2_14_9,3_13_8
2_15_6,3_14_5
2_16_6,3_15_5
2_17_7,3_16_6
2_17_8,3_16_7
2_18_7,3_17_6
2_18_8,3_17_7
2_18_9,3_17_8
2_18_10,3_17_9
2_19_8,3_18_7
2_19_9,3_18_8
2_19_10,3_18_9
2_19_11,3_18_10
2_20_9,3_19_8
2_20_10,3_19_9
2_20_11,3_19_10
2_20_12,3_19_11
2_21_7,3_20_6
2_21_11,3_20_10
2_21_12,3_20_11
2_22_13,3_21_12
2_23_8,3_22_7
2_24_7,3_23_6
2_24_10,3_23_9
2_25_6,3_24_5
2_25_9,3_24_8
2_25_11,3_24_10
2_25_12,3_24_11
2_26_6,3_25_5
2_26_7,3_25_6
2_26_8,3_25_7
2_26_11,3_25_10
2_26_12,3_25_11
2_26_13,3_25_12
2_26_14,3_25_13
2_27_7,3_26_6
2_27_8,3_26_7
2_27_10,3_26_9
2_27_12,3_26_11
2_27_13,3_26_12
2_27_14,3_26_13
2_27_15,3_26_14
2_28_7,3_27_6
2_28_8,3_27_7
2_28_9,3_27_8
2_28_13,3_27_12
2_28_14,3_27_13
2_28_15,3_27_14
2_28_16,3_27_15
2_29_7,3_28_6
2_29_8,3_28_7
2_29_11,3_28_10
2_29_15,3_28_14
2_29_16,3_28_15
2_30_9,3_29_8
2_30_10,3_29_9
2_30_17,3_29_16
2_31_8,3_30_7
2_31_9,3_30_8
2_31_12,3_30_11
2_32_7,3_31_6
2_32_8,3_31_7
2_32_9,3_31_8
2_32_11,3_31_10
2_32_14,3_31_13
2_33_7,3_32_6
2_33_8,3_32_7
2_33_10,3_32_9
2_33_13,3_32_12
2_33_15,3_32_14
2_33_16,3_32_15
2_34_8,3_33_7
2_34_12,3_33_11
2_34_15,3_33_14
2_34_16,3_33_15
2_34_17,3_33_16
2_34_18,3_33_17
2_35_9,3_34_8
2_35_11,3_34_10
2_35_14,3_34_13
2_35_16,3_34_15
2_35_17,3_34_16
2_35_18,3_34_17
2_35_19,3_34_18
2_36_10,3_35_9
2_36_13,3_35_12
2_36_17,3_35_16
2_36_18,3_35_17
2_36_19,3_35_18
2_36_20,3_35_19
2_37_12,3_36_11
2_37_15,3_36_14
2_37_19,3_36_18
2_37_20,3_36_19
2_38_11,3_37_10
2_38_14,3_37_13
2_38_21,3_37_20
2_39_8,3_38_7
2_39_10,3_38_9
2_39_13,3_38_12
2_39_16,3_38_15
2_40_8,3_39_7
2_40_9,3_39_8
2_40_10,3_39_9
2_40_12,3_39_11
2_40_15,3_39_14
