n,s,f,dimension
2,0,0,1
2,0,1,1
2,0,2,1
2,0,3,1
2,0,4,1
2,0,5,1
2,0,6,1
2,0,7,1
2,0,8,1
2,0,9,1
2,0,10,1
2,0,11,1
2,0,12,1
2,0,13,1
2,0,14,1
2,0,15,1
2,0,16,1
2,0,17,1
2,0,18,1
2,0,19,1
2,0,20,1
2,0,21,1
2,0,22,1
2,0,23,1
2,0,24,1
2,0,25,1
2,0,26,1
2,0,27,1
2,1,1,1
2,1,2,1
2,1,3,1
2,1,4,1
2,1,5,1
2,1,6,1
2,1,7,1
2,1,8,1
2,1,9,1
2,1,10,1
2,1,11,1
2,1,12,1
2,1,13,1
2,1,14,1
2,1,15,1
2,1,16,1
2,1,17,1
2,1,18,1
2,1,19,1
2,1,20,1
2,1,21,1
2,1,22,1
2,1,23,1
2,1,24,1
2,1,25,1
2,1,26,1
2,1,27,1
2,2,2,1
2,3,3,1
2,4,3,1
2,4,4,1
2,5,4,1
2,6,5,1
2,9,4,1
2,10,5,1
2,10,6,1
2,11,5,1
2,11,6,1
2,11,7,1
2,12,5,1
2,12,6,1
2,12,7,1
2,12,8,1
2,13,7,1
2,13,8,1
2,14,9,1
2,15,6,1
2,16,6,1
2,17,7,1
2,17,8,1
2,18,7,1
2,18,8,1
2,18,9,1
2,18,10,1
2,19,8,1
2,19,9,1
2,19,10,1
2,19,11,1
2,20,9,1
2,20,10,1
2,20,11,1
2,20,12,1
2,21,7,1
2,21,11,1
2,21,12,1
2,22,13,1
2,23,8,1
2,24,7,1
2,24,10,1
2,25,6,1
2,25,9,1
2,25,11,1
2,25,12,1
2,26,6,1
2,26,7,1
2,26,8,1
2,26,11,1
2,26,12,1
2,26,13,1
2,26,14,1
2,27,7,1
2,27,8,1
2,27,10,1
2,27,12,1
2,27,13,1
2,27,14,1
2,27,15,1
2,28,7,1
2,28,8,1
2,28,9,1
2,28,13,1
2,28,14,1
2,28,15,1
2,28,16,1
2,29,7,1
2,29,8,1
2,29,11,1
2,29,15,1
2,29,16,1
2,30,9,1
2,30,10,1
2,30,17,1
2,31,8,1
2,31,9,1
2,31,12,1
2,32,7,1
2,32,8,1
2,32,9,1
2,32,11,1
2,32,14,1
2,33,7,1
2,33,8,1
2,33,10,1
2,33,13,1
2,33,15,1
2,33,16,1
2,34,8,1
2,34,12,1
2,34,15,1
2,34,16,1
2,34,17,1
2,34,18,1
2,35,9,1
2,35,11,1
2,35,14,1
2,35,16,1
2,35,17,1
2,35,18,1
2,35,19,1
2,36,10,1
2,36,13,1
2,36,17,1
2,36,18,1
2,36,19,1
2,36,20,1
2,37,12,1
2,37,15,1
2,37,19,1
2,37,20,1
2,38,11,1
2,38,14,1
2,38,21,1
2,39,8,1
2,39,10,1
2,39,13,1
2,39,16,1
2,40,8,1
2,40,9,1
2,40,10,1
2,40,12,1
2,40,15,1
2,40,18,1
2,41,9,1
2,41,11,2
2,41,14,1
2,41,17,1
2,41,19,1
2,41,20,1
2,42,11,1
2,42,12,1
2,42,13,1
2,42,16,1
2,42,19,1
2,42,20,1
2,42,21,1
2,42,22,1
2,43,10,1
2,43,12,2
2,43,15,1
2,43,18,1
2,43,20,1
2,43,21,1
2,43,22,1
2,43,23,1
2,44,9,1
2,44,10,1
2,44,11,1
2,44,13,1
2,44,14,1
2,44,17,1
2,44,21,1
2,44,22,1
2,44,23,1
2,44,24,1
2,45,9,1
2,45,10,1
2,45,11,1
2,45,13,1
2,45,16,1
2,45,19,1
2,45,23,1
2,45,24,1
2,46,10,1
2,46,11,1
2,46,12,1
2,46,15,1
2,46,18,1
2,46,25,1
2,47,11,1
2,47,12,1
2,47,14,1
2,47,17,1
2,47,20,1
2,48,13,1
2,48,14,1
2,48,16,1
2,48,19,1
2,48,22,1
2,49,10,1
2,49,12,1
2,49,13,1
2,49,15,2
2,49,18,1
2,49,21,1
2,49,23,1
2,49,24,1
2,50,10,1
2,50,11,1
2,50,12,1
2,50,14,1
2,50,15,1
2,50,16,1
2,50,17,1
2,50,20,1
2,50,23,1
2,50,24,1
2,50,25,1
2,50,26,1
2,51,11,2
2,51,13,1
2,51,14,1
2,51,16,2
2,51,19,1
2,51,22,1
2,51,24,1
2,51,25,1
2,51,26,1
2,51,27,1
2,52,12,1
2,52,13,1
2,52,15,1
2,52,17,1
2,52,18,1
2,52,21,1
2,52,25,1
2,52,26,1
2,52,27,1
2,53,14,1
2,53,15,1
2,53,17,1
2,53,20,1
2,53,23,1
2,54,9,1
2,54,10,1
2,54,13,1
2,54,14,1
2,54,16,1
2,54,19,1
2,54,22,1
2,55,7,1
2,55,10,1
2,55,11,1
2,55,12,2
2,55,13,1
2,55,15,1
2,55,16,1
2,55,18,1
2,55,21,1
2,55,24,1
2,56,8,1
2,56,9,1
2,56,10,1
2,56,11,2
2,56,12,2
2,56,13,1
2,56,14,1
2,56,15,1
2,56,17,1
2,56,18,1
2,56,20,1
2,56,23,1
2,57,8,1
2,57,9,2
2,57,10,1
2,57,11,2
2,57,12,2
2,57,13,1
2,57,14,2
2,57,16,1
2,57,17,1
2,57,19,2
2,57,22,1
2,58,8,1
2,58,9,2
2,58,10,1
2,58,11,2
2,58,12,1
2,58,13,1
2,58,14,1
2,58,15,1
2,58,16,1
2,58,18,1
2,58,19,1
2,58,20,1
2,58,21,1
2,59,8,1
2,59,9,1
2,59,10,2
2,59,11,1
2,59,13,1
2,59,14,1
2,59,15,2
2,59,17,1
2,59,18,1
2,59,20,2
2,60,8,1
2,60,10,1
2,60,12,2
2,60,13,2
2,60,14,1
2,60,16,1
2,60,17,1
2,60,19,1
2,61,9,1
2,61,10,1
2,61,12,2
2,61,13,1
2,61,15,1
2,61,16,1
2,61,18,1
2,62,8,1
2,62,9,2
2,62,11,2
2,62,12,1
2,62,13,1
2,62,14,1
2,62,15,1
2,62,17,1
2,63,9,2
2,63,10,2
2,63,11,3
2,63,12,1
2,63,13,1
2,63,14,1
2,63,16,2
2,64,9,1
2,64,10,3
2,64,11,1
2,64,12,2
2,64,13,1
2,64,14,1
2,64,15,2
2,65,10,2
2,65,11,2
2,65,12,1
2,65,13,2
2,65,14,2
2,66,9,1
2,66,10,1
2,66,12,1
2,66,13,2
2,67,9,1
2,68,11,1
2,69,9,1
2,69,10,1
2,70,8,1
3,0,0,1
3,0,1,1
3,0,2,1
3,0,3,1
3,0,4,1
3,0,5,1
3,0,6,1
3,0,7,1
3,0,8,1
3,0,9,1
3,0,10,1
3,0,11,1
3,0,12,1
3,0,13,1
3,0,14,1
3,0,15,1
3,0,16,1
3,0,17,1
3,0,18,1
3,0,19,1
3,0,20,1
3,0,21,1
3,0,22,1
3,0,23,1
3,0,24,1
3,0,25,1
3,0,26,1
3,0,27,1
3,1,1,1
3,2,2,1
3,3,2,1
3,3,3,1
3,4,3,1
3,5,4,1
3,8,3,1
3,9,4,1
3,9,5,1
3,10,4,1
3,10,5,1
3,10,6,1
3,11,4,1
3,11,5,1
3,11,6,1
3,11,7,1
3,12,6,1
3,12,7,1
3,13,8,1
3,14,5,1
3,15,5,1
3,16,6,1
3,16,7,1
3,17,6,1
3,17,7,1
3,17,8,1
3,17,9,1
3,18,7,1
3,18,8,1
3,18,9,1
3,18,10,1
3,19,8,1
3,19,9,1
3,19,10,1
3,19,11,1
3,20,6,1
3,20,10,1
3,20,11,1
3,21,12,1
3,22,7,1
3,23,6,1
3,23,9,1
3,24,5,1
3,24,8,1
3,24,10,1
3,24,11,1
3,25,5,1
3,25,6,1
3,25,7,1
3,25,10,1
3,25,11,1
3,25,12,1
3,25,13,1
3,26,6,1
3,26,7,1
3,26,9,1
3,26,11,1
3,26,12,1
3,26,13,1
3,26,14,1
3,27,6,1
3,27,7,1
3,27,8,1
3,27,12,1
3,27,13,1
3,27,14,1
3,27,15,1
3,28,6,1
3,28,7,1
3,28,10,1
3,28,14,1
3,28,15,1
3,29,8,1
3,29,9,1
3,29,16,1
3,30,7,1
