factor1,factor2,result
2_1_1,3_0_1,2_1_2
2_1_1,3_1_1,2_2_2
3_1_1,4_1_1,3_2_2
4_1_1,5_1_1,4_2_2
5_1_1,6_1_1,5_2_2
6_1_1,7_1_1,6_2_2
7_1_1,8_1_1,7_2_2
8_1_1,9_1_1,8_2_2
9_1_1,10_1_1,9_2_2
10_1_1,11_1_1,10_2_2
11_1_1,12_1_1,11_2_2
12_1_1,13_1_1,12_2_2
13_1_1,14_1_1,13_2_2
14_1_1,15_1_1,14_2_2
15_1_1,16_1_1,15_2_2
16_1_1,17_1_1,16_2_2
17_1_1,18_1_1,17_2_2
18_1_1,19_1_1,18_2_2
19_1_1,20_1_1,19_2_2
20_1_1,21_1_1,20_2_2
21_1_1,22_1_1,21_2_2
22_1_1,23_1_1,22_2_2
23_1_1,24_1_1,23_2_2
24_1_1,25_1_1,24_2_2
25_1_1,26_1_1,25_2_2
26_1_1,27_1_1,26_2_2
27_1_1,28_1_1,27_2_2
28_1_1,29_1_1,28_2_2
29_1_1,30_1_1,29_2_2
30_1_1,31_1_1,30_2_2
31_1_1,32_1_1,31_2_2
32_1_1,33_1_1,32_2_2
33_1_1,34_1_1,33_2_2
34_1_1,35_1_1,34_2_2
35_1_1,36_1_1,35_2_2
36_1_1,37_1_1,36_2_2
37_1_1,38_1_1,37_2_2
38_1_1,39_1_1,38_2_2
39_1_1,40_1_1,39_2_2
40_1_1,41_1_1,40_2_2
41_1_1,42_1_1,41_2_2
42_1_1,43_1_1,42_2_2
43_1_1,44_1_1,43_2_2
44_1_1,45_1_1,44_2_2
45_1_1,46_1_1,45_2_2
46_1_1,47_1_1,46_2_2
47_1_1,48_1_1,47_2_2
48_1_1,49_1_1,48_2_2
49_1_1,50_1_1,49_2_2
50_1_1,51_1_1,50_2_2
51_1_1,52_1_1,51_2_2
52_1_1,53_1_1,52_2_2
53_1_1,54_1_1,53_2_2
54_1_1,55_1_1,54_2_2
55_1_1,56_1_1,55_2_2
56_1_1,57_1_1,56_2_2
57_1_1,58_1_1,57_2_2
58_1_1,59_1_1,58_2_2
59_1_1,60_1_1,59_2_2
60_1_1,61_1_1,60_2_2
61_1_1,62_1_1,61_2_2
62_1_1,63_1_1,62_2_2
63_1_1,64_1_1,63_2_2
64_1_1,65_1_1,64_2_2
65_1_1,66_1_1,65_2_2
66_1_1,67_1_1,66_2_2
67_1_1,68_1_1,67_2_2
68_1_1,69_1_1,68_2_2
69_1_1,70_1_1,69_2_2
70_1_1,71_1_1,70_2_2
71_1_1,72_1_1,71_2_2
72_1_1,73_1_1,72_2_2
73_1_1,74_1_1,73_2_2
74_1_1,75_1_1,74_2_2
75_1_1,76_1_1,75_2_2
76_1_1,77_1_1,76_2_2
77_1_1,78_1_1,77_2_2
78_1_1,79_1_1,78_2_2
79_1_1,80_1_1,79_2_2
2_1_1,3_0_2,2_1_3
2_1_2,3_0_1,2_1_3
4_0_1,4_3_1,4_3_2_0
4_3_1,7_0_1,4_3_2_1 + 4_3_2_0
5_0_1,5_3_1,5_3_2
5_3_1,8_0_1,5_3_2
6_0_1,6_3_1,6_3_2
6_3_1,9_0_1,6_3_2
7_0_1,7_3_1,7_3_2
7_3_1,10_0_1,7_3_2
8_0_1,8_3_1,8_3_2
8_3_1,11_0_1,8_3_2
9_0_1,9_3_1,9_3_2
9_3_1,12_0_1,9_3_2
10_0_1,10_3_1,10_3_2
10_3_1,13_0_1,10_3_2
11_0_1,11_3_1,11_3_2
11_3_1,14_0_1,11_3_2
12_0_1,12_3_1,12_3_2
12_3_1,15_0_1,12_3_2
13_0_1,13_3_1,13_3_2
13_3_1,16_0_1,13_3_2
14_0_1,14_3_1,14_3_2
14_3_1,17_0_1,14_3_2
15_0_1,15_3_1,15_3_2
15_3_1,18_0_1,15_3_2
16_0_1,16_3_1,16_3_2
16_3_1,19_0_1,16_3_2
17_0_1,17_3_1,17_3_2
17_3_1,20_0_1,17_3_2
18_0_1,18_3_1,18_3_2
18_3_1,21_0_1,18_3_2
19_0_1,19_3_1,19_3_2
