r,n,s,f,row,col,value
2,0,9,2,0,0,0
2,0,10,3,0,0,0
2,0,17,3,0,0,0
2,0,17,4,0,0,1
2,0,17,6,0,0,0
2,0,18,2,0,0,0
2,0,18,4,0,0,0
2,0,18,7,0,0,0
2,0,19,5,0,0,1
2,0,20,3,0,0,0
2,0,22,3,0,0,0
2,0,22,4,0,0,0
2,0,24,5,0,0,0
2,0,25,8,0,0,1
2,0,25,10,0,0,0
2,0,26,6,0,0,0
2,0,26,11,0,0,0
2,0,27,9,0,0,1
2,0,32,3,0,0,0
2,0,32,3,1,0,0
2,0,32,6,0,0,0
2,0,33,2,0,0,0
2,0,33,3,0,0,0
2,0,33,4,0,0,0
2,0,33,4,0,1,0
2,0,33,12,0,0,1
2,0,33,14,0,0,0
2,0,34,2,0,0,0
2,0,34,2,1,0,0
2,0,34,5,0,0,0
2,0,34,7,0,0,0
2,0,34,15,0,0,0
2,0,35,4,0,0,0
2,0,35,5,0,0,0
2,0,35,6,0,0,0
2,0,35,13,0,0,1
2,0,36,5,0,0,0
2,0,37,3,0,0,0
2,0,37,7,0,0,0
2,0,38,3,0,0,0
2,0,38,4,0,0,0
2,0,38,6,0,0,0
2,0,38,6,0,1,0
2,0,39,4,0,0,1
2,0,39,4,0,1,0
2,0,39,4,1,0,0
2,0,39,4,1,1,0
2,0,39,5,0,0,0
2,0,39,5,0,1,0
2,0,39,6,0,0,0
2,0,40,3,0,0,0
2,0,40,3,1,0,0
2,0,40,4,0,0,0
2,0,40,4,0,1,0
2,0,40,4,0,2,0
2,0,40,5,0,0,0
2,0,40,5,0,1,0
2,0,40,7,0,0,0
2,0,40,7,1,0,0
2,0,40,10,0,0,0
2,0,41,3,0,0,0
2,0,41,3,1,0,0
2,0,41,4,0,0,0
2,0,41,5,0,0,0
2,0,41,6,0,0,0
2,0,41,6,0,1,0
2,0,41,7,0,0,0
2,0,41,8,0,0,1
2,0,41,16,0,0,1
2,0,41,18,0,0,0
2,0,42,5,0,0,0
2,0,42,6,0,0,0
2,0,42,11,0,0,0
2,0,42,19,0,0,0
2,0,43,9,0,0,1
2,0,43,17,0,0,1
2,0,46,4,0,0,0
2,0,46,7,0,0,0
2,0,46,7,0,1,0
2,0,46,8,0,0,0
2,0,47,5,0,0,0
2,0,47,5,1,0,0
2,0,47,6,0,0,0
2,0,47,7,0,0,0
2,0,47,7,0,1,0
2,0,47,10,0,0,0
2,0,48,4,0,0,0
2,0,48,5,0,0,0
2,0,48,5,1,0,1
2,0,48,6,0,0,0
2,0,48,6,1,0,0
2,0,48,6,2,0,0
2,0,48,8,0,0,0
2,0,48,8,0,1,0
2,0,48,9,0,0,0
2,0,48,14,0,0,0
2,0,49,4,0,0,1
2,0,49,5,0,0,0
2,0,49,5,1,0,0
2,0,49,11,0,0,0
2,0,49,12,0,0,1
2,0,49,20,0,0,1
2,0,49,22,0,0,0
2,0,50,10,0,0,0
2,0,50,15,0,0,0
2,0,50,23,0,0,0
2,0,51,4,0,0,0
2,0,51,4,1,0,0
2,0,51,8,0,0,0
2,0,51,9,0,0,0
2,0,51,13,0,0,1
2,0,51,21,0,0,1
2,0,52,6,0,0,0
2,0,52,7,0,0,0
2,0,52,8,0,0,0
2,0,52,8,0,1,0
2,0,52,11,0,0,0
2,0,53,5,0,0,1
2,0,53,5,0,1,0
2,0,53,6,0,0,0
2,0,53,6,1,0,0
2,0,53,7,0,0,0
2,0,53,9,0,0,0
2,0,53,10,0,0,0
2,0,54,5,0,0,0
2,0,54,6,0,0,0
2,0,54,7,0,0,0
2,0,54,8,0,0,0
2,0,54,9,0,0,0
2,0,54,11,0,0,0
2,0,54,12,0,0,0
2,0,55,6,0,0,1
2,0,55,7,0,0,0
2,0,55,10,0,0,0
2,0,55,11,0,0,0
2,0,55,11,0,1,0
2,0,55,14,0,0,0
