r,n,s,f,row,col,value
2,3,1,1,0,0,0
2,10,8,2,0,0,0
2,17,15,1,0,0,1
2,17,15,2,0,0,0
2,17,15,3,0,0,0
2,17,15,4,0,0,0
2,18,16,2,0,0,0
2,18,16,6,0,0,0
2,19,17,4,0,0,1
2,19,17,5,0,0,0
2,20,18,2,0,0,0
2,20,18,3,0,0,0
2,20,18,4,0,0,1
2,20,18,4,0,1,0
2,20,18,5,0,0,1
2,21,19,3,0,0,0
2,23,21,3,0,0,0
2,25,23,6,0,0,0
2,25,23,7,0,0,1
2,25,23,8,0,0,1
2,26,24,5,0,0,0
2,26,24,10,0,0,0
2,27,25,8,0,0,1
2,27,25,9,0,0,0
2,28,26,6,0,0,0
2,28,26,7,0,0,1
2,28,26,8,0,0,1
2,28,26,9,0,0,1
2,31,29,7,0,0,1
2,31,29,8,0,0,1
2,32,30,5,0,0,0
2,32,30,6,0,0,0
2,32,30,7,0,0,0
2,33,31,1,0,0,1
2,33,31,2,0,0,1
2,33,31,3,0,0,0
2,33,31,3,0,1,1
2,33,31,4,0,0,0
2,33,31,5,0,0,0
2,33,31,5,0,1,0
2,33,31,6,0,0,0
2,33,31,7,0,0,0
2,33,31,8,0,0,0
2,33,31,8,0,1,0
2,33,31,9,0,0,0
2,33,31,9,0,1,0
2,33,31,10,0,0,0
2,33,31,10,0,1,0
2,33,31,11,0,0,0
2,33,31,12,0,0,0
2,34,32,2,0,0,0
2,34,32,4,0,0,0
2,34,32,6,0,0,0
2,34,32,6,1,0,0
2,34,32,7,0,0,1
2,34,32,7,1,0,0
2,34,32,8,0,0,1
2,34,32,8,1,0,0
2,34,32,9,0,0,0
2,34,32,14,0,0,0
2,35,33,4,0,0,0
2,35,33,5,0,0,0
2,35,33,7,0,0,0
2,35,33,12,0,0,1
2,35,33,13,0,0,0
2,36,34,2,0,0,0
2,36,34,3,0,0,0
2,36,34,10,0,0,0
2,36,34,11,0,0,1
2,36,34,12,0,0,1
2,36,34,13,0,0,1
2,37,35,7,0,0,1
2,37,35,8,0,0,1
2,37,35,9,0,0,0
2,38,36,6,0,0,0
2,39,37,10,0,0,0
2,39,37,11,0,0,1
2,39,37,12,0,0,1
2,40,38,3,0,0,0
2,40,38,4,0,0,0
2,40,38,4,0,1,0
2,40,38,5,0,0,0
2,40,38,5,1,0,0
2,40,38,6,0,0,0
2,40,38,6,0,1,0
2,40,38,6,1,0,0
2,40,38,6,1,1,1
2,40,38,7,0,0,1
2,40,38,8,0,0,1
2,40,38,9,0,0,0
2,41,39,3,0,0,0
2,41,39,4,0,0,0
2,41,39,4,1,0,0
2,41,39,5,0,0,0
2,41,39,7,0,0,0
2,41,39,14,0,0,0
2,41,39,15,0,0,1
2,41,39,16,0,0,1
2,42,40,5,0,0,0
2,42,40,5,0,1,0
2,42,40,10,0,0,0
2,42,40,11,0,0,1
2,42,40,12,0,0,1
2,42,40,13,0,0,0
2,42,40,18,0,0,0
2,43,41,3,0,0,1
2,43,41,3,1,0,0
2,43,41,4,0,0,1
2,43,41,4,1,0,0
2,43,41,10,0,0,0
2,43,41,11,0,0,0
2,43,41,16,0,0,1
2,43,41,17,0,0,0
2,44,42,8,0,0,0
2,44,42,9,0,0,1
2,44,42,14,0,0,0
2,44,42,15,0,0,1
2,44,42,16,0,0,1
2,44,42,17,0,0,1
2,45,43,11,0,0,1
2,45,43,12,0,0,1
2,45,43,13,0,0,0
2,46,44,10,0,0,0
2,47,45,3,0,0,0
2,47,45,4,0,0,0
2,47,45,15,0,0,1
2,47,45,16,0,0,1
2,48,46,7,0,0,0
2,48,46,14,0,0,0
2,48,46,15,0,0,0
2,49,47,5,0,0,0
2,49,47,6,0,0,0
2,49,47,13,0,0,0
2,49,47,13,0,1,1
2,49,47,14,0,0,1
2,49,47,15,0,0,1
2,49,47,16,0,0,0
2,49,47,16,0,1,1
2,49,47,17,0,0,0
2,49,47,17,0,1,1
2,49,47,18,0,0,0
2,49,47,18,0,1,0
2,49,47,19,0,0,0
2,49,47,20,0,0,0
2,50,48,4,0,0,1
2,50,48,5,0,0,1
2,50,48,6,0,0,0
2,50,48,6,1,0,0
2,50,48,8,0,0,0
2,50,48,12,0,0,0
2,50,48,14,0,0,0
2,50,48,14,1,0,0
2,50,48,15,0,0,1
2,50,48,15,1,0,0
2,50,48,16,0,0,1
2,50,48,16,1,0,0
2,50,48,17,0,0,0
2,50,48,22,0,0,0
2,51,49,5,0,0,1
2,51,49,5,1,0,1
2,51,49,6,0,0,0
2,51,49,14,0,0,0
2,51,49,15,0,0,0
2,51,49,20,0,0,1
2,51,49,21,0,0,0
2,52,50,4,0,0,0
2,52,50,13,0,0,1
2,52,50,18,0,0,0
2,52,50,19,0,0,1
2,52,50,20,0,0,1
2,52,50,21,0,0,1
2,53,51,8,0,0,0
2,53,51,15,0,0,1
2,53,51,16,0,0,1
2,53,51,17,0,0,0
2,54,52,5,0,0,1
2,54,52,6,0,0,0
2,54,52,14,0,0,0
2,55,53,9,0,0,0
2,55,53,12,0,0,0
2,55,53,18,0,0,0
2,55,53,19,0,0,1
2,55,53,20,0,0,1
2,56,54,8,0,0,0
2,56,54,9,0,0,0
2,56,54,10,0,0,0
2,56,54,10,0,1,1
2,56,54,11,0,0,0
2,56,54,11,0,1,0
2,56,54,11,1,0,0
2,56,54,11,1,1,1
2,56,54,12,0,0,0
2,56,54,12,0,1,1
2,56,54,13,0,0,1
2,56,54,14,0,0,1
2,56,54,14,1,0,1
2,56,54,15,0,0,0
2,56,54,15,0,1,1
2,56,54,16,0,0,1
2,56,54,17,0,0,0
2,57,55,7,0,0,0
2,57,55,11,0,0,0
2,57,55,12,0,0,0
2,57,55,14,0,0,0
2,58,56,9,0,0,0
2,58,56,10,0,0,0
2,58,56,10,0,1,1
2,58,56,12,0,0,0
2,58,56,18,0,0,0
2,58,56,19,0,0,1
2,59,57,7,0,0,0
2,59,57,8,0,0,0
2,59,57,8,0,1,0
2,59,57,8,1,0,0
2,59,57,8,1,1,0
2,59,57,9,0,0,0
2,59,57,9,0,1,0
2,59,57,10,0,0,0
2,59,57,11,0,0,1
2,59,57,11,1,0,0
2,59,57,18,0,0,0
2,60,58,6,0,0,1
2,60,58,6,1,0,1
2,60,58,7,0,0,0
2,60,58,7,1,0,1
2,60,58,8,0,0,0
2,60,58,17,0,0,1
2,61,59,12,0,0,0
2,62,60,8,0,0,0
2,62,60,9,0,0,0
2,62,60,9,0,1,1
2,62,60,10,0,0,1
2,62,60,11,0,0,0
2,62,60,11,0,1,0
2,62,60,14,0,0,0
2,63,61,6,0,0,0
2,63,61,6,0,1,1
2,63,61,7,0,0,0
2,63,61,7,0,1,1
2,63,61,7,1,0,0
2,63,61,7,1,1,0
2,63,61,8,0,0,0
2,63,61,9,1,0,1
2,63,61,10,0,0,0
2,63,61,10,1,0,1
2,63,61,11,0,0,0
2,63,61,11,0,1,1
2,63,61,12,0,0,1
2,63,61,13,0,0,0
2,64,62,2,0,0,0
2,64,62,4,0,0,0
2,64,62,4,1,0,0
2,64,62,5,0,0,0
